reach_id,segment_index,perpendicular_run_id,processing_status,quality_status,failure_code,failure_message,centre_x_m,centre_y_m,river_angle_deg,cross_section_angle_deg,nearest_pixc_distance_m,observed_pixc_width_m,negative_edge_distance_m,positive_edge_distance_m,n_anchor_candidates,n_negative,n_centre,n_positive,n_candidates_negative,n_candidates_centre,n_candidates_positive,n_nan_height_negative,n_nan_height_centre,n_nan_height_positive,negative_mean_height,centre_mean_height,positive_mean_height,negative_median_height,centre_median_height,positive_median_height,negative_std_height,centre_std_height,positive_std_height,negative_sem_height,centre_sem_height,positive_sem_height,delta_h_centre_minus_negative,delta_h_centre_minus_positive,delta_h_positive_minus_negative,delta_h_centre_minus_negative_median,delta_h_centre_minus_positive_median,delta_h_positive_minus_negative_median,delta_h_centre_minus_negative_sem,delta_h_centre_minus_positive_sem,delta_h_positive_minus_negative_sem,negative_sample_status,centre_sample_status,positive_sample_status,negative_passes_minimum,centre_passes_minimum,positive_passes_minimum,n_shared_negative_centre,n_shared_centre_positive,n_shared_negative_positive,neighbourhoods_overlap
segment_330_run_14,330,14,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,401265.3931394997,5019717.453428042,-20.556045221531235,69.44395477846876,8046.56030335327,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_370_run_15,370,15,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,401553.5684999773,5018554.537181236,-25.866356786621854,64.13364321337815,6951.652831253981,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_384_run_16,384,16,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,402084.1490375715,5018349.2588910535,-13.590948456643916,76.40905154335609,6460.206591082824,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_404_run_17,404,17,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,402547.449370009,5017922.692568433,-7.125016380201509,82.87498361979848,5841.056282273701,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_412_run_18,412,18,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,402816.9630677429,5017803.84724254,-9.104600864489736,80.89539913551026,5587.708801567691,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_420_run_19,420,19,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,403075.18689665804,5017819.297633417,-14.782726180664802,75.21727381933519,5457.609113987572,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_426_run_20,426,20,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,403227.9125252201,5017795.105726829,-16.64310861052387,73.35689138947613,5354.9867963401675,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_435_run_21,435,21,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,403574.62657514715,5017531.48518575,-31.78725312251157,58.21274687748843,4947.9476026524735,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_469_run_22,469,22,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,404182.89856132225,5016426.027216355,-24.443954813354225,65.55604518664578,3687.4433863374747,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_479_run_23,479,23,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,404608.7773489945,5016392.23978486,-18.43494882301428,71.56505117698572,3451.6349632520273,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
